,cell_type
1261,TAM 1
1262,TAM 3
1263,Tcells 1
1264,TAM 5
1265,Tcells 2
1266,Treg
1267,Tcells 1
1268,TAM 5
1269,Tcells 2
1270,Tcells 3
1271,NK
1272,Mono 1
1273,Mono 2
1274,Mono 1
1275,Tcells 2
1276,Tcells 1
1277,Proliferating TAM
1278,Tcells 1
1279,Tcells 1
1280,Proliferating TAM
1281,Mono 1
1282,Tcells 2
1283,TAM 3
1284,Mono 1
1285,TAM 4
1286,NK
1287,TAM 5
1288,TAM 3
1289,Tcells 1
1290,TAM 3
1291,Proliferating TAM
1292,TAM 5
1293,Mono 1
1294,TAM 5
1295,TAM 5
1296,Tcells 1
1297,Proliferating T cells
1298,TAM 4
1299,Tcells 1
1300,Proliferating TAM
1301,TAM 3
1302,Tcells 1
1303,NK
1304,Tcells 1
1305,TAM 3
1306,TAM 3
1307,TAM 3
1308,Tcells 2
1309,TAM 1
1310,Tcells 1
1311,Tcells 3
1312,TAM 3
1313,Tcells 3
1314,Tcells 1
1315,Mono 1
1316,TAM 5
1317,TAM 3
1318,Tcells 2
1319,NK
1320,cDC2
1321,TAM 3
1322,Tcells 2
1323,Tcells 3
1324,TAM 5
1325,TAM 2
1326,TAM 5
1327,TAM 3
1328,TAM 4
1329,Tcells 2
1330,TAM 2
1331,NK
1332,Mono 1
1333,Tcells 3
1334,TAM 4
1335,Mono 1
1336,Mono 1
1337,Mono 1
1338,Tcells 1
1339,Mono 1
1340,Tcells 2
1341,TAM 3
1342,TAM 3
1343,Tcells 1
1344,B
1345,TAM 3
1346,Tcells 2
1347,TAM 3
1348,TAM 3
1349,TAM 3
1350,TAM 5
1351,TAM 5
1352,TAM 2
1353,NK
1354,Mono 1
1355,Tcells 1
1356,TAM 5
1357,Tcells 2
1358,Mono 1
1359,Tcells 3
1360,TAM 5
1361,Proliferating TAM
1362,Tcells 1
1363,Proliferating TAM
1364,Tcells 1
1365,Mono 1
1366,Tcells 1
1367,TAM 3
1368,TAM 5
1369,TAM 5
1370,Proliferating TAM
1371,TAM 5
1372,NK
1373,NK
1374,TAM 3
1375,TAM 3
1376,Tcells 1
1377,B
1378,Proliferating TAM
1379,Tcells 2
1380,Tcells 2
1381,TAM 2
1382,Proliferating TAM
1383,Proliferating TAM
1384,Tcells 2
1385,TAM 5
1386,TAM 1
1387,NK
1388,Proliferating TAM
1389,Tcells 2
1390,Tcells 1
1391,Tcells 1
1392,TAM 3
1393,Proliferating TAM
1394,TAM 5
1395,TAM 5
1396,Mono 2
1397,TAM 5
1398,Proliferating TAM
1399,Tcells 1
1400,Tcells 1
1401,Tcells 3
1402,Mono 2
1403,Tcells 1
1404,Tcells 3
1405,Proliferating TAM
1406,Mono 1
1407,Tcells 2
1408,Proliferating T cells
1409,cDC1
1410,TAM 2
1411,TAM 3
1412,Tcells 1
1413,Mono 2
1414,Tcells 2
1415,TAM 3
1416,Tcells 1
1417,TAM 1
1418,Tcells 1
1419,Mono 1
1420,TAM 2
1421,Tcells 2
1422,Tcells 2
1423,TAM 5
1424,Tcells 1
1425,NK
1426,Tcells 1
1427,TAM 3
1428,Mono 2
1429,TAM 5
1430,Mono 2
1431,TAM 5
1432,TAM 5
1433,Tcells 3
1434,TAM 3
1435,Tcells 2
1436,Tcells 1
1437,Tcells 1
1438,Tcells 1
1439,Proliferating TAM
1440,TAM 3
1441,Tcells 2
1442,Mono 2
1443,TAM 3
1444,Tcells 2
1445,NK
1446,Tcells 2
1447,TAM 5
1448,TAM 1
1449,Tcells 1
1450,TAM 2
1451,Tcells 3
1452,Proliferating TAM
1453,Mono 1
1454,Proliferating TAM
1455,TAM 5
1456,TAM 5
1457,TAM 5
1458,NK
1459,NK
1460,TAM 5
1461,TAM 3
1462,Proliferating TAM
1463,Tcells 2
1464,TAM 5
1465,Tcells 1
1466,Proliferating T cells
1467,NK
1468,TAM 5
